SK_ID_CURR,TARGET
100001,0.065051153503659
100005,0.126400862862072
100013,0.081238834817538
100028,0.061509363614455
100038,0.128307643262461
100042,0.055893562654303
100057,0.083035056599578
100065,0.125470149454047
100066,0.050359062441853
100067,0.103294569677048
100074,0.063245613587492
100090,0.115127499593902
100091,0.117158221045112
100092,0.098101107380491
100106,0.155821055553369
100107,0.111812720032966
100109,0.098569823644311
100117,0.076216439254564
100128,0.073493501850049
100141,0.087928080850478
100150,0.075496980010802
100168,0.064994846865268
100169,0.044324958226132
100170,0.086903390918897
100171,0.099827966398881
100172,0.121537266520907
100184,0.073917172104475
100187,0.061739081507789
100212,0.085807414866092
100222,0.084763033803604
100223,0.063094951397666
100232,0.073246417566212
100241,0.141189416030182
100245,0.07944665703269
100253,0.061443411077205
100256,0.094505522500607
100271,0.054833190472974
100278,0.106469849654642
100280,0.070668978215578
100306,0.153888455994622
100311,0.107085831731227
100312,0.063542064117789
100330,0.074959074043257
100331,0.089477344360371
100352,0.09284457873379
100358,0.093006462959579
100367,0.085628894815622
100382,0.085281064711596
100384,0.074215281143375
100385,0.115680430134646
100386,0.090377989356951
100399,0.071801691632776
100404,0.069263761428773
100416,0.071779808188788
100422,0.121027446913211
100426,0.079434654205086
100438,0.068454159047143
100444,0.114725823320514
100445,0.123387523768679
100446,0.11718791412933
100447,0.064846859336624
100450,0.073684897940814
100466,0.085777768829329
100483,0.072885283318886
100484,0.052560838077374
100494,0.084038689131487
100510,0.12550612364274
100512,0.059550916846473
100517,0.0695516998008
100548,0.058363705407433
100551,0.070070664478824
100552,0.125618878820218
100553,0.085920706993385
100561,0.092905452486333
100568,0.123498203837321
100569,0.069325995052188
100591,0.095325004506497
100592,0.047867000479934
100602,0.107615309782107
100607,0.079157337521215
100613,0.08342402592094
100617,0.078190701906525
100618,0.091408644103347
100622,0.163541947466552
100625,0.124312631762372
100677,0.083527784742113
100699,0.07670660572912
100702,0.136779862998698
100711,0.084146732125572
100729,0.137004986896155
100740,0.118160332871648
100744,0.104826547200523
100745,0.102504594824963
100747,0.100060225632218
100751,0.111055724636818
100752,0.085547274926748
